0.13, 0.21, 0.25, 0.24, 0.34, 0.45, 0.57, 0.65, 0.55, 0.48, 0.46, 0.45, 0.45, 0.40, 0.34, 0.26, 0.21, 0.09, 0.00, -0.05, -0.36, -0.26, -0.22, -0.23, -0.30, -0.37, -0.42, -0.45, -0.24, -0.16, -0.12, -0.10, -0.15, -0.15, -0.06, 0.01, 0.21, 0.78, 0.90, 0.98, -0.41, -0.52, -0.50, -0.37, -0.27, -0.19, -0.13, -0.12, -0.23, -0.33, -0.28, -0.23, -0.17, -0.11, -0.07, -0.11, -0.46, -0.48, -0.48, -0.58
0.29, 0.62, 0.91, 1.18, 1.35, 1.53, 1.67, 1.96, 2.28, 2.58, 2.71, 2.76, 2.77, 2.76, 2.75, 2.74, 2.73, 2.73, 2.73, 2.66, -0.80, -0.91, -0.39, -0.05, 0.40, 0.67, 1.07, 1.40, 1.56, 1.51, 1.24, 0.94, 0.77, 0.69, 0.62, 0.62, 0.58, 0.58, 0.67, 1.11, -0.09, -0.26, -0.09, -0.08, 0.02, -0.01, 0.11, 0.06, 0.12, 0.05, -0.02, -0.09, -0.12, -0.11, -0.12, -0.14, -0.15, -0.15, -0.19, -0.18
0.25, 0.60, 0.95, 1.21, 1.40, 1.56, 1.79, 2.11, 2.51, 2.85, 2.94, 2.96, 2.96, 2.96, 2.95, 2.96, 2.97, 2.99, 2.99, 2.95, -0.87, -1.05, -0.80, -0.13, 0.32, 0.74, 1.21, 1.60, 1.41, 1.20, 0.75, 0.56, 0.47, 0.49, 0.44, 0.44, 0.42, 0.43, 0.48, 0.86, -0.08, -0.17, -0.02, -0.06, -0.02, 0.05, 0.04, 0.12, 0.09, 0.11, 0.05, 0.02, 0.01, 0.03, 0.04, 0.04, 0.03, 0.04, 0.06, 0.02
0.10, 0.23, 0.37, 0.54, 0.67, 0.78, 0.91, 1.04, 1.15, 1.25, 1.34, 1.53, 1.69, 1.87, 1.96, 2.01, 2.05, 2.05, 2.04, 2.01, -0.35, -0.53, -0.48, -0.43, -0.14, 0.12, 0.35, 0.53, 0.71, 0.85, 1.12, 1.10, 1.27, 1.11, 1.07, 0.86, 0.83, 0.65, 0.63, 0.70, -0.04, -0.11, -0.04, -0.07, -0.16, -0.19, -0.09, -0.02, 0.02, -0.04, -0.01, -0.09, 0.05, 0.05, 0.05, -0.01, -0.05, -0.11, -0.10, -0.15
0.18, 0.82, 1.48, 1.81, 2.18, 2.51, 3.01, 3.64, 3.77, 3.83, 3.84, 3.85, 3.86, 3.87, 3.88, 3.90, 3.91, 3.93, 3.95, 3.94, -1.10, -1.72, -1.15, -0.10, 0.46, 1.32, 1.41, 0.94, 0.53, 0.26, 0.15, 0.20, 0.26, 0.31, 0.32, 0.32, 0.30, 0.34, 0.35, 0.57, -0.10, -0.25, -0.05, -0.04, 0.27, 0.37, 0.34, 0.34, 0.27, 0.23, 0.20, 0.23, 0.25, 0.27, 0.28, 0.28, 0.26, 0.29, 0.30, 0.31
0.09, 0.19, 0.30, 0.42, 0.56, 0.65, 0.79, 0.90, 1.04, 1.15, 1.31, 1.42, 1.61, 1.71, 1.81, 1.85, 1.86, 1.86, 1.84, 1.80, -0.36, -0.45, -0.46, -0.34, -0.15, 0.20, 0.34, 0.68, 0.98, 1.23, 1.45, 1.60, 1.62, 1.65, 1.53, 1.44, 1.29, 1.30, 1.27, 1.47, -0.08, -0.09, -0.12, -0.06, -0.08, -0.09, -0.07, -0.02, -0.01, 0.03, 0.06, 0.08, -0.05, 0.01, -0.06, -0.08, -0.08, -0.03, -0.09, -0.06
0.12, 0.54, 1.19, 1.45, 1.75, 1.98, 2.17, 2.53, 2.87, 3.07, 3.14, 3.16, 3.16, 3.16, 3.16, 3.18, 3.20, 3.23, 3.24, 3.26, -0.87, -1.43, -1.23, -0.36, 0.33, 0.79, 1.07, 1.51, 1.25, 0.85, 0.44, 0.31, 0.27, 0.32, 0.30, 0.27, 0.26, 0.24, 0.24, 0.33, 0.08, -0.19, 0.25, 0.18, 0.42, 0.41, 0.56, 0.44, 0.54, 0.49, 0.41, 0.37, 0.37, 0.39, 0.37, 0.37, 0.37, 0.35, 0.35, 0.34
0.07, 0.16, 0.25, 0.35, 0.45, 0.53, 0.70, 0.85, 1.06, 1.15, 1.19, 1.19, 1.18, 1.15, 1.14, 1.14, 1.14, 1.14, 1.13, 1.12, -0.46, -0.57, -0.42, -0.12, 0.20, 0.69, 1.16, 1.22, 1.28, 1.00, 0.74, 0.56, 0.55, 0.52, 0.51, 0.47, 0.50, 0.50, 0.58, 0.72, -0.02, -0.10, -0.14, -0.04, 0.04, 0.15, 0.15, 0.22, 0.18, 0.18, 0.16, 0.11, 0.13, 0.11, 0.11, 0.06, 0.09, 0.09, 0.07, 0.06
0.26, 0.44, 0.90, 1.16, 1.44, 1.68, 1.95, 2.48, 2.99, 3.14, 3.19, 3.20, 3.19, 3.18, 3.19, 3.19, 3.20, 3.21, 3.22, 3.16, -0.89, -1.23, -1.04, -0.17, 0.48, 0.86, 1.43, 1.52, 1.40, 0.91, 0.60, 0.47, 0.48, 0.51, 0.50, 0.47, 0.49, 0.49, 0.53, 0.94, -0.14, -0.32, -0.14, -0.26, -0.10, -0.03, 0.10, -0.10, -0.14, -0.25, -0.33, -0.36, -0.32, -0.32, -0.31, -0.35, -0.34, -0.33, -0.32, -0.31
0.13, 0.42, 0.92, 1.26, 1.50, 1.75, 1.90, 2.20, 2.52, 2.83, 2.92, 2.94, 2.98, 2.97, 2.96, 2.96, 2.96, 2.96, 2.97, 2.95, -0.69, -1.05, -1.12, -0.24, 0.50, 0.97, 1.31, 1.68, 1.71, 1.56, 1.04, 0.89, 0.81, 0.88, 0.82, 0.80, 0.74, 0.78, 0.80, 1.04, 0.03, -0.17, -0.18, -0.27, -0.23, -0.15, -0.07, -0.10, -0.09, -0.15, -0.28, -0.27, -0.28, -0.24, -0.27, -0.26, -0.28, -0.26, -0.23, -0.31
