0.07,0.35,0.51,0.77,1.01,1.38,1.62,1.64,1.64,1.63,1.52,-0.59,-0.64,-0.57,-0.5,0,0,0,0,0
0.1,-0.26,-0.48,-0.48,-0.6,-0.74,-0.73,-0.69,-0.62,-0.63,-0.75,0.3,0.32,0.25,0.17,0,0,0,0,0
8.64,9.14,9.64,10.13,10.43,10.68,9.13,9.41,9.8,10.38,10.87,8.26,8.68,9.21,9.65,0,0,0,0,0
0.22,0.45,0.64,0.9,1.15,1.46,1.66,1.73,1.75,1.74,1.6,-0.5,-0.5,-0.45,-0.4,0,0,0,0,0
0.21,-0.02,-0.16,-0.17,-0.27,-0.41,-0.39,-0.39,-0.42,-0.46,-0.43,0.22,0.23,0.17,0.09,0,0,0,0,0
8.58,9.08,9.57,10.04,10.29,10.37,8.85,9.25,9.72,10.31,10.69,8.31,8.84,9.26,9.67,0,0,0,0,0
0.26,0.44,0.53,0.75,0.98,1.3,1.57,1.55,1.59,1.43,-0.5,-0.55,-0.51,-0.5,0,0,0,0,0,0
0.07,-0.26,-0.55,-0.56,-0.62,-0.77,-0.74,-0.74,-0.73,-0.75,0.2,0.18,0.2,0.17,0,0,0,0,0,0
8.35,8.83,9.34,9.83,10.15,10.33,9.09,9.56,10.22,10.71,8.36,8.79,9.26,9.58,0,0,0,0,0,0
0.58,0.77,0.96,1.21,1.45,1.76,1.86,1.86,1.81,1.56,-0.64,-0.68,-0.62,-0.62,0,0,0,0,0,0
-0.02,-0.44,-0.46,-0.51,-0.66,-0.82,-0.82,-0.81,-0.75,-0.55,0.26,0.28,0.19,0.13,0,0,0,0,0,0
8.51,9,9.5,9.9,10.14,10.28,9.02,9.63,10.33,10.71,8.41,8.82,9.38,9.73,0,0,0,0,0,0
0.61,0.86,1.17,1.49,1.82,2.14,2.59,2.59,2.61,2.59,2.37,-0.3,-0.27,-0.24,-0.24,0,0,0,0,0
-0.36,-0.73,-0.73,-0.8,-0.97,-1.14,-1.18,-1.21,-1.27,-1.29,-1.21,0.16,0.03,-0.02,-0.02,0,0,0,0,0
8.26,8.76,9.26,9.68,9.96,9.99,8.51,8.84,9.34,10.09,10.53,8.22,8.81,9.31,9.6,0,0,0,0,0
0.94,1.17,1.43,1.7,2.02,2.33,2.41,2.47,2.54,2.23,-0.37,-0.35,-0.27,-0.24,0,0,0,0,0,0
-0.15,-0.59,-0.64,-0.73,-0.9,-1.04,-1.15,-1.16,-1.13,-0.84,0.16,0.1,0.07,0,0,0,0,0,0,0
8.44,8.94,9.42,9.77,10.09,10.14,8.75,9.39,10.36,10.71,8.29,8.8,9.3,9.69,0,0,0,0,0,0
0.66,1.18,1.39,1.67,1.95,2.51,2.51,2.49,2.3,-0.37,-0.33,-0.32,-0.34,0,0,0,0,0,0,0
-0.02,-0.51,-0.66,-0.69,-0.9,-1.14,-1.15,-1.14,-1.15,0.31,0.25,0.19,0.2,0,0,0,0,0,0,0
8.03,8.53,9.03,9.49,9.75,8.46,8.92,9.71,10.3,8.7,9.19,9.51,9.68,0,0,0,0,0,0,0
0.67,0.88,1.12,1.38,1.7,2.07,2.04,1.95,-0.42,-0.38,-0.37,-0.38,0,0,0,0,0,0,0,0
-0.07,-0.43,-0.48,-0.49,-0.73,-0.81,-0.79,-0.88,0.17,0.13,0.12,0.14,0,0,0,0,0,0,0,0
8.54,9.02,9.52,9.91,10.16,9.02,9.64,10.33,8.57,9.08,9.46,9.65,0,0,0,0,0,0,0,0
0.82,0.95,1.17,1.43,1.79,2.02,2.05,2.05,-0.34,-0.23,-0.12,-0.09,0,0,0,0,0,0,0,0
-0.46,-0.68,-0.66,-0.74,-0.99,-1.13,-1.14,-1.06,0.14,0.05,-0.05,-0.03,0,0,0,0,0,0,0,0
8.17,8.65,9.15,9.48,9.81,8.47,9.22,10.18,8.39,9.03,9.43,9.68,0,0,0,0,0,0,0,0
1.01,1.23,1.45,1.7,2.06,2.31,2.28,2.32,2.13,-0.33,-0.28,-0.19,-0.18,0,0,0,0,0,0,0
0.02,-0.52,-0.63,-0.78,-1.11,-1.05,-1.12,-1.14,-1.02,0.21,0.09,0,0.03,0,0,0,0,0,0,0
8.29,8.78,9.28,9.66,10.05,8.64,9.31,10.12,10.69,8.43,8.94,9.46,9.67,0,0,0,0,0,0,0
1.22,1.72,2.03,2.4,3,3.01,2.99,2.79,-0.25,-0.25,-0.21,-0.17,0,0,0,0,0,0,0,0
-0.28,-1.02,-1.09,-1.36,-1.6,-1.68,-1.78,-1.64,0.23,0.16,0.04,0.04,0,0,0,0,0,0,0,0
8.15,9.14,9.59,9.94,8.67,9.29,10.1,10.6,8.22,8.78,9.24,9.59,0,0,0,0,0,0,0,0
0.93,1.22,1.41,1.67,2.05,2.19,2.2,2.23,2.09,-0.13,-0.08,0.03,0.1,0,0,0,0,0,0,0
-0.07,-0.66,-0.75,-1.01,-1.35,-1.28,-1.32,-1.36,-1.3,0.22,0.13,-0.02,-0.1,0,0,0,0,0,0,0
8.07,9.05,9.54,9.84,9.96,8.31,8.9,9.68,10.34,8.14,8.79,9.29,9.71,0,0,0,0,0,0,0
1.37,1.54,1.8,2.13,2.7,2.74,2.77,2.62,0.05,0.07,0.1,0.14,0.12,0,0,0,0,0,0,0
-0.58,-0.96,-1.08,-1.36,-1.78,-1.82,-1.86,-1.83,0.42,0.39,0.35,0.37,0.38,0,0,0,0,0,0,0
8.36,8.86,9.35,9.83,8.23,8.81,9.64,10.19,7.99,8.69,9.15,9.51,9.68,0,0,0,0,0,0,0
1.15,1.23,1.44,1.66,1.98,2.32,2.3,2.28,1.93,-0.04,-0.11,-0.04,0.03,0,0,0,0,0,0,0
-0.18,-0.5,-0.47,-0.75,-1.13,-1.37,-1.52,-1.47,-1.24,0.14,0.18,-0.03,-0.12,-0.03,0,0,0,0,0,0
8.07,8.57,9.06,9.45,9.71,8.53,9.25,10.15,10.43,8.09,8.58,9.14,9.64,9.73,0,0,0,0,0,0
0.52,0.71,0.92,1.22,1.81,1.81,1.74,1.58,-0.21,-0.12,-0.09,-0.13,0,0,0,0,0,0,0,0
-0.08,-0.64,-0.8,-0.94,-1.11,-1.16,-1.19,-1.08,-0.07,-0.15,-0.18,-0.14,0,0,0,0,0,0,0,0
8.32,9.28,9.7,9.95,8.61,9.24,9.99,10.52,8.64,9.21,9.59,9.77,0,0,0,0,0,0,0,0
0.88,1.23,1.5,1.84,1.97,1.99,1.98,1.85,-0.75,-0.72,-0.68,-0.66,0,0,0,0,0,0,0,0
-0.11,-0.67,-0.85,-1.06,-1.23,-1.17,-1.27,-1.2,0.23,0.1,0.06,0.03,0,0,0,0,0,0,0,0
8.33,9.31,9.71,10.04,8.59,9.05,9.9,10.54,8.25,8.89,9.24,9.57,0,0,0,0,0,0,0,0
