0.04,0.04,0.04,1.07,1.11,1.09,1.1,0.44,0.39,0.26,0.12,0,0,0,0,0,0,0,0,0
0.62,0.86,1.2,-0.61,-0.15,0.27,0.52,0.12,0.75,1.04,1.38,0,0,0,0,0,0,0,0,0
9.69,9.79,9.64,9.22,9.25,9.21,9.28,9.4,9.34,9.43,9.55,0,0,0,0,0,0,0,0,0
-0.22,-0.32,-0.41,0.15,0.64,0.73,0.84,0.82,0.85,0.29,0.41,0.35,0.13,0,0,0,0,0,0,0
0.82,1.33,1.71,1.98,-0.81,-0.41,0.35,0.75,0.84,0.15,1.17,1.92,2.14,0,0,0,0,0,0,0
9.84,9.76,9.67,9.34,9.25,9.31,9.48,9.4,9.46,9.33,9.25,9.59,9.77,0,0,0,0,0,0,0
-0.4,-0.46,-0.4,0.46,0.55,0.58,0.55,0.16,0.16,0.13,0.09,0,0,0,0,0,0,0,0,0
1.55,2.01,2.21,-0.68,-0.19,0.45,0.8,0.17,1.14,1.8,2.1,0,0,0,0,0,0,0,0,0
9.74,9.73,9.7,9.23,9.25,9.34,9.33,9.34,9.18,9.53,9.77,0,0,0,0,0,0,0,0,0
-0.41,-0.31,0.34,0.42,0.4,0.34,-0.04,0.06,-0.01,-0.18,0,0,0,0,0,0,0,0,0,0
1.89,2.43,-0.49,0.02,0.61,0.87,0.12,1.13,1.65,2.05,0,0,0,0,0,0,0,0,0,0
9.71,9.7,9.22,9.35,9.46,9.42,9.35,9.33,9.62,9.85,0,0,0,0,0,0,0,0,0,0
-0.6,-0.71,-0.68,0.44,0.49,0.47,0.45,0.15,0,-0.15,-0.34,0,0,0,0,0,0,0,0,0
1.42,1.88,2.05,-0.54,0.05,0.58,0.79,0.38,1.3,1.83,2.03,0,0,0,0,0,0,0,0,0
9.75,9.66,9.68,9.28,9.35,9.38,9.42,9.33,9.15,9.44,9.62,0,0,0,0,0,0,0,0,0
-0.57,-0.67,-0.67,0.41,0.44,0.4,0.39,-0.1,-0.07,-0.09,-0.35,0,0,0,0,0,0,0,0,0
1.48,1.91,2.41,-0.59,-0.06,0.36,0.48,-0.36,0.55,1.19,1.58,0,0,0,0,0,0,0,0,0
9.58,9.55,9.24,9.08,9.19,9.23,9.28,9.35,9.28,9.54,9.64,0,0,0,0,0,0,0,0,0
-0.82,-0.87,-0.8,0.22,0.23,0.17,0.11,0.04,-0.29,-0.25,-0.28,-0.56,-0.71,0,0,0,0,0,0,0
0.97,1.5,1.76,-0.84,-0.26,0.18,0.39,-1.08,-0.4,0.6,1.16,1.55,1.69,0,0,0,0,0,0,0
9.87,9.92,9.96,8.95,9.08,9.15,9.2,9.28,9.21,9.11,9.56,9.7,9.91,0,0,0,0,0,0,0
-0.81,-0.95,-0.84,0.05,0.1,0.04,0.03,-0.2,-0.22,-0.23,-0.43,0,0,0,0,0,0,0,0,0
0.89,1.24,1.84,-0.71,-0.23,0.11,0.3,-0.33,0.68,1.39,1.74,0,0,0,0,0,0,0,0,0
9.79,9.87,9.56,9.18,9.34,9.35,9.4,9.37,9.25,9.46,9.57,0,0,0,0,0,0,0,0,0
-0.94,-0.94,-0.72,0.27,0.32,0.27,0.27,-0.18,-0.19,-0.22,-0.49,0,0,0,0,0,0,0,0,0
1.73,2.11,2.16,-0.08,0.52,0.92,1.04,-0.12,0.88,1.63,1.99,0,0,0,0,0,0,0,0,0
9.63,9.52,9.46,8.79,8.91,8.88,8.93,9.25,9.05,9.39,9.53,0,0,0,0,0,0,0,0,0
-0.95,-0.95,0.09,0.1,0.07,-0.36,-0.36,-0.59,0,0,0,0,0,0,0,0,0,0,0,0
1.68,2.01,-0.03,0.54,0.92,1.01,1.83,2.22,0,0,0,0,0,0,0,0,0,0,0,0
9.63,9.59,9.22,9.3,9.34,9.07,9.44,9.58,0,0,0,0,0,0,0,0,0,0,0,0
-0.94,-0.92,0.04,0.09,0.07,-0.54,-0.56,-0.71,0,0,0,0,0,0,0,0,0,0,0,0
1.89,2.3,-0.05,0.51,0.84,0.69,1.58,2.04,0,0,0,0,0,0,0,0,0,0,0,0
9.69,9.76,9.25,9.39,9.41,9.28,9.41,9.63,0,0,0,0,0,0,0,0,0,0,0,0
-1,-0.99,-0.63,0.09,0.1,0.04,0.01,-0.72,-0.8,-0.97,-1.09,0,0,0,0,0,0,0,0,0
1.56,2.05,2.25,-0.22,0.14,0.59,0.84,0.26,1.24,1.71,1.84,0,0,0,0,0,0,0,0,0
9.67,9.7,9.43,9.49,9.53,9.58,9.61,9.56,9.51,9.6,9.77,0,0,0,0,0,0,0,0,0
-1.01,-1.09,-1.05,-0.11,-0.11,-0.18,-0.22,-0.66,-0.66,-0.65,-0.81,0,0,0,0,0,0,0,0,0
1.29,1.75,2.01,-0.29,0.16,0.44,0.62,0.13,1.15,1.58,2,0,0,0,0,0,0,0,0,0
9.73,9.75,9.66,9.28,9.39,9.42,9.45,9.45,9.36,9.54,9.69,0,0,0,0,0,0,0,0,0
-1.17,-1.16,-0.87,0.17,0.19,0.19,0.18,-0.33,-0.43,-0.69,0,0,0,0,0,0,0,0,0,0
2.04,2.5,2.63,-0.13,0.33,0.94,1.14,1.05,1.72,2.11,0,0,0,0,0,0,0,0,0,0
9.56,9.46,9.28,9.16,9.22,9.34,9.38,9.28,9.56,9.76,0,0,0,0,0,0,0,0,0,0
0.05,-0.01,0.99,1.1,1.07,1.1,0.75,0.85,0.77,0.63,0,0,0,0,0,0,0,0,0,0
1.01,1.47,-0.76,-0.17,0.31,0.52,0.04,1.02,1.56,1.93,0,0,0,0,0,0,0,0,0,0
10.01,10.04,9.23,9.49,9.48,9.48,9.3,9.33,9.68,9.96,0,0,0,0,0,0,0,0,0,0
0.3,0.27,1.15,1.23,1.23,1.28,0.69,0.71,0.62,0.42,0,0,0,0,0,0,0,0,0,0
1.27,1.64,-0.33,0.26,0.67,0.81,0.55,1.39,1.94,2.34,0,0,0,0,0,0,0,0,0,0
9.75,9.86,9.05,9.19,9.2,9.32,9.23,9.16,9.39,9.63,0,0,0,0,0,0,0,0,0,0
0,-0.09,-0.06,0.99,1.05,1.07,1.08,0.85,0.91,0.94,0.39,0,0,0,0,0,0,0,0,0
